Colonia_Hecho;Municipio_Hecho
SAN MIGUEL TEOTONGO;CDMX
LEYES DE REFORMA 3A SECCION;CDMX
ARE  L;CDMX
POPOTLA;CDMX
EL PARQUE;CDMX
SIN DATO ;NEZAHUALCOYOTL
MIGUEL HIDALGO 4A SECCION;CDMX
SANTA LUCIA;CDMX
AGRICOLA ORIENTAL;CDMX
AMPLIACION GABRIEL RAMOS MILLAN;CDMX
SANTA BARBARA;CDMX
  TIVITAS;CDMX
SIN DATO ;CDMX
EL ERMITANO;CDMX
XALPA;CDMX
VILLA PA  MERICA  ;CDMX
DEL LAGO;CDMX
TORRE BLANCA;CDMX
NUEVA ESPA  ;CDMX
PRO HOGAR;CDMX
ALFONSO XIII;CDMX
MORELOS;CDMX
AGRICOLA PANTITLAN;CDMX
SAN JOSE ACULCO;CDMX
SIN DATO ;CDMX
AMPLIACION LOMAS DE SAN BER  BE;CDMX
2A AMPLIACION SANTIAGO ACAHUALTEPEC;CDMX
PUEBLO DE LA MAGDALE   MIXIUHCA;CDMX
OLIVAR DEL CONDE 2A SECCION;CDMX
XALPA;CDMX
DOCTORES;CDMX
SIN DATO ;CDMX
DESARROLLO URBANO QUETZALCOATL;CDMX
MIGUEL HIDALGO 3A SECCION;CDMX
BARRIO XALTOCAN;CDMX
CALTONGO;CDMX
LA POLVORILLA;CDMX
AQUILES SERDAN;CDMX
AQUILES SERDAN;CDMX
INPI PICOS;CDMX
LA VIGA;CDMX
INDUSTRIAL;CDMX
SAN BARTOLO CAHUALTONGO;CDMX
SAN BARTOLO CAHUALTONGO;CDMX
SAN ANGEL;CDMX
PUEBLO DE SANTA URSULA COAPA;CDMX
PEDREGAL DEL SUR;CDMX
GUADALUPE DEL MORAL;CDMX
  RCISO MENDOZA SUPER MANZA   3 VILLA COAPA;CDMX
NONOALCO TLATELOLCO;CDMX
FEDERAL;CDMX
PORTALES SUR;CDMX
GRANJAS MEXICO;CDMX
  RVARTE;CDMX
TOLTECA;CDMX
FEDERAL;CDMX
OLIVAR DEL CONDE 1A SECCION;CDMX
Pueblo San Antonio Tecomitl Barrio Xochitepec;CDMX
GARCIMARRERO;CDMX
SAN MIGUEL XICALCO;CDMX
MORELOS;CDMX
SANTA MARTHA ACATITLA NORTE;CDMX
OBRERA;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
ARAGON FOVISSSTE;CDMX
APATLACO;CDMX
SANTA MARIA LA RIBERA;CDMX
TIERRA BLANCA;CDMX
SANTA MARIA LA RIBERA;CDMX
LAS CRUCES;CDMX
REFORMA POLITICA;CDMX
BOSQUE DE CHAPULTEPEC I SECCION;CDMX
NUEVA ATZACOALCO;CDMX
SAN PEDRO EL CHICO;CDMX
AHUEHUETES A  HUAC;CDMX
AGRICOLA ORIENTAL;CDMX
LOMAS QUEBRADAS;CDMX
MOSCO CHI  MPA;CDMX
ESTRELLA;CDMX
MORELOS;CDMX
EL MIRADOR ISAN LUCAS XOCHIMANCA;CDMX
LAS AGUILAS 3ER PARQUE;CDMX
NUEVA ATZACOALCO;CDMX
MIGUEL HIDALGO 3A SECCION;CDMX
TACUBAYA;CDMX
DOCTORES;CDMX
DOCTORES;CDMX
FLORIDA;CDMX
SIN DATO ;CUAUTITLAN IZCALLI
AGRICOLA ORIENTAL;CDMX
BARRIO SANTIAGO;CDMX
SAN ANTONIO;CDMX
LOMAS ESTRELLA 2A SECCION;CDMX
SAN SIMON CULHUACAN;CDMX
  RCISO MENDOZA SUPER MANZA   3 VILLA COAPA;CDMX
JUAREZ;CDMX
SAN JUAN XALPA;CDMX
SAN JUAN XALPA;CDMX
BARRIO SANTIAGO;CDMX
GUADALUPE DEL MORAL;CDMX
SANTA INES;CDMX
GUADALUPE DEL MORAL;CDMX
  RCISO MENDOZA SUPER MANZA   3 VILLA COAPA;CDMX
LA PLANTA;CDMX
AGRICOLA PANTITLAN;CDMX
EL ERMITANO;CDMX
PRESIDENTES DE MEXICO;CDMX
SANTA MARTHA ACATITLA NORTE;CDMX
SANTA MARTHA ACATITLA NORTE;CDMX
BARRIO SAN ESTEBAN;CDMX
SAN MIGUEL DEL PUEBLO DE SAN ANDRES MIXQUIC;CDMX
SECTOR 17;CDMX
PEDREGAL DE SANTA URSULA;CDMX
SANTA MARIA LA RIBERA;CDMX
AGRICOLA PANTITLAN;CDMX
LA HABA  ;CDMX
SIN DATO ;CDMX
AMPLIACION GABRIEL RAMOS MILLAN;CDMX
MOSCO CHI  MPA;CDMX
TEPALCATES;CDMX
DEFENSORES DE LA REPUBLICA;CDMX
GRA  DA;CDMX
ROMA NORTE;CDMX
LAS AGUILAS 3ER PARQUE;CDMX
MIGUEL HIDALGO 3A SECCION;CDMX
PUNTA DE CEHUAYA;CDMX
  TIVITAS PUEBLO SAN LUCAS XOCHIMANCA;CDMX
PIEDAD   RVARTE;CDMX
INPI PICOS;CDMX
INPI PICOS;CDMX
INPI PICOS;CDMX
CHALMA DE GUADALUPE;CDMX
CENTRAL DE ABASTO;CDMX
AJUSCO;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
BARRIO SANTIAGO;CDMX
VILLA CENTRO AMERICA  ;CDMX
LA CASILDA;CDMX
GUERRERO;CDMX
HEROES DE PADIER  ;CDMX
ZO   URBA   EJIDAL SANTA MARIA AZTAHUACAN;CDMX
FERROCARRILERA;CDMX
2A AMPLIACION SANTIAGO ACAHUALTEPEC;CDMX
2A AMPLIACION SANTIAGO ACAHUALTEPEC;CDMX
TACUBAYA;CDMX
TACUBAYA;CDMX
TACUBAYA;CDMX
HIPODROMO;CDMX
PUEBLO DE SANTA URSULA COAPA;CDMX
PARAJE 38;CDMX
GUADALUPE DEL MORAL;CDMX
MIGUEL HIDALGO 4A SECCION;CDMX
MIGUEL HIDALGO 4A SECCION;CDMX
MIGUEL HIDALGO 4A SECCION;CDMX
SAN JUAN TEPEPAN;CDMX
MIGUEL HIDALGO 4A SECCION;CDMX
SANTA MARIA NONOALCO;CDMX
HACIENDA SAN JUAN;CDMX
LOMAS DE SAN LORENZO;CDMX
SAN FELIPE DE JESUS;CDMX
PROVIDENCIA;CDMX
SAN PEDRO MARTIR;CDMX
SAN LUCAS ORIENTE;CDMX
CHIMILLI;CDMX
GUERRERO;CDMX
SIN DATO ;CDMX
AMPLIACION COSMOPOLITA;CDMX
2A AMPLIACION JALALPA TEPITO;CDMX
POPULAR RASTRO;CDMX
CALTONGO;CDMX
JOSE MARIA PINO SUAREZ;CDMX
IZTLAHUACAN;CDMX
DEL VALLE CENTRO;CDMX
DOCTORES;CDMX
SIN DATO ;QUERETARO
SAN MATEO TLALTE  NGO;CDMX
SAN PABLO XALPA;CDMX
LOMAS DE SAN LORENZO;CDMX
LOMAS DE SAN LORENZO;CDMX
SIN DATO ;TLALNEPANTLA DE BAZ
LA CARBONERA;CDMX
ROMA NORTE;CDMX
GRA  DA;CDMX
SIN DATO ;PUERTO VALLARTA
DOCTORES;CDMX
CENTRO;CDMX
GENERAL FELIPE BERRIOZABAL;CDMX
  RCISO MENDOZA SUPER MANZA   5 VILLA COAPA;CDMX
VALLE GOMEZ;CDMX
AGRICOLA ORIENTAL;CDMX
LA ERA;CDMX
SIN DATO ;CDMX
JUAREZ;CDMX
CENTRO DE AZCAPOTZALCO;CDMX
CENTRO DE AZCAPOTZALCO;CDMX
DEL VALLE CENTRO;CDMX
ALVARO OBREGON;CDMX
JUAN ESCUTIA;CDMX
ALAMOS;CDMX
SAN SIMON TOL  HUAC;CDMX
GUADALUPE TEPEYAC;CDMX
GABRIEL RAMOS MILLAN SECCION BRAMADERO;CDMX
NUEVA INDUSTRIAL VALLEJO;CDMX
SAN JUAN DE ARAGON IV SECCION;CDMX
ACTIPAN;CDMX
POPULAR SANTA TERESA;CDMX
SAN PEDRO DE LOS PINOS;CDMX
RESIDENCIAL MIRAMONTES;CDMX
ARVIDE;CDMX
TLACOQUEMECATL;CDMX
SIN DATO ;TECAMAC
GABRIEL RAMOS MILLAN;CDMX
BOSQUE DE LAS LOMAS;CDMX
AGRICOLA PANTITLAN;CDMX
CENTRO DE AZCAPOTZALCO;CDMX
DEL MAR;CDMX
SAN ANDRES AHUAYUCAN;CDMX
JUAN ESCUTIA;CDMX
LA LAGU   TICOMAN;CDMX
PEDREGAL DE SANTA URSULA;CDMX
MARTIN CARRERA;CDMX
BARRIO LA CONCEPCION TLACOAPA;CDMX
JUAN ESCUTIA;CDMX
SANTA ISABEL TOLA;CDMX
SAN JERONIMO ACULCO;CDMX
SAN ALVARO;CDMX
JUAREZ;CDMX
LOMAS DE SANTA FE;CDMX
SANTA ISABEL INDUSTRIAL;CDMX
SAN MARCOS NORTE;CDMX
AMPLIACION CASAS ALEMAN;CDMX
BOSQUES DE TARANGO;CDMX
JUAREZ;CDMX
5 DE MAYO;CDMX
CENTRO;CDMX
5 DE MAYO;CDMX
CENTRO;CDMX
BARRIO LA CONCEPCION;CDMX
LAGO NORTE;CDMX
DOCTORES;CDMX
SI  TEL;CDMX
INSURGENTES MIXCOAC;CDMX
DEL VALLE CENTRO;CDMX
ACACIAS;CDMX
INSURGENTES MIXCOAC;CDMX
ACACIAS;CDMX
EL ROSARIO;CDMX
ARAGON LA VILLA;CDMX
TLACUITLAPA;CDMX
TRANSITO;CDMX
DOCTORES;CDMX
LA LAGU   TICOMAN;CDMX
LA LAGU   TICOMAN;CDMX
HIPODROMO;CDMX
OBRERA;CDMX
OBRERA;CDMX
CAMPESTRE CHURUBUSCO;CDMX
AMPLIACION ASTURIAS;CDMX
  POLES;CDMX
AMPLIACION ASTURIAS;CDMX
AMPLIACION ASTURIAS;CDMX
  POLES;CDMX
FLORESTA COYOACAN;CDMX
FLORESTA COYOACAN;CDMX
DEL VALLE CENTRO;CDMX
DEL VALLE CENTRO;CDMX
SANTA ISABEL TOLA;CDMX
SAN JOSE INSURGENTES;CDMX
SAN JOSE INSURGENTES;CDMX
ATLAMPA;CDMX
LAS ARBOLEDAS;CDMX
LAS ARBOLEDAS;CDMX
PUERTA GRANDE REACOMODO;CDMX
LAS ARBOLEDAS;CDMX
CUEVITAS;CDMX
PUERTA GRANDE REACOMODO;CDMX
PUERTA GRANDE REACOMODO;CDMX
  RVARTE;CDMX
GARCIMARRERO NORTE;CDMX
GARCIMARRERO NORTE;CDMX
GARCIMARRERO NORTE;CDMX
CENTRO;CDMX
CENTRO;CDMX
OBRERA;CDMX
OBRERA;CDMX
CENTRO;CDMX
CENTRO;CDMX
SIN DATO ;CDMX
DOCTORES;CDMX
HIPODROMO;CDMX
ROMA SUR;CDMX
HIPODROMO;CDMX
INDEPENDENCIA;CDMX
BARRIO OXTOPULCO UNIVERSIDAD;CDMX
LOS ENCINOS;CDMX
CENTRO;CDMX
LA HABA  ;CDMX
LA HABA  ;CDMX
LA HABA  ;CDMX
LAS ARBOLEDAS;CDMX
LAS ARBOLEDAS;CDMX
LAS ARBOLEDAS;CDMX
ZO   CENTRO;CDMX
TABLAS DE SAN AGUSTIN;CDMX
  POLES;CDMX
POPOTLA;CDMX
TEPOPOTLA;CDMX
TEPOPOTLA;CDMX
GABRIEL RAMOS MILLAN;CDMX
FELIPE PESCADOR;CDMX
CENTRO;CDMX
PIRU SANTA LUCIA;CDMX
ROMA NORTE;CDMX
SALVADOR DIAZ MIRON;CDMX
DR ALFONSO ORTIZ TIRADO;CDMX
LA   VIDAD;CDMX
TABACALERA;CDMX
AMPLIACION GRA  DA;CDMX
16 DE SEPTIEMBRE;CDMX
LOMAS DE SOTELO;CDMX
JORGE NEGRETE;CDMX
CORPUS CHRISTY;CDMX
LOMAS DE SANTA FE;CDMX
SANTIAGO ATZACOALCO;CDMX
LOMAS ALTAS DE PADIER   SUR;CDMX
2A AMPLIACION JALALPA TEPITO;CDMX
VILLA PA  MERICA  ;CDMX
CONCHITA B;CDMX
CENTRO;CDMX
DOCTORES;CDMX
BELISARIO DOMINGUEZ SECCION XVI;CDMX
LAS AMERICAS;CDMX
INDUSTRIAL VALLEJO;CDMX
SAN LORENZO HUIPULCO;CDMX
CENTRO DE AZCAPOTZALCO;CDMX
GRA  DA;CDMX
CUAJIMALPA;CDMX
CONDESA;CDMX
AMPLIACION DANIEL GARZA;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
GUADALUPE TEPEYAC;CDMX
CENTRO;CDMX
BUE  VISTA;CDMX
MIXCOAC;CDMX
LOMAS DE SAN LORENZO;CDMX
CAMPAMENTO 2 DE OCTUBRE;CDMX
AMPLIACION GABRIEL RAMOS MILLAN;CDMX
SANTA MARIA LA RIBERA;CDMX
LOMAS DE ZARAGOZA;CDMX
JOSE LOPEZ PORTILLO;CDMX
ALBARRADA;CDMX
BARRIO SAN AGUSTIN;CDMX
GUERRERO;CDMX
SAN JUAN DE ARAGON;CDMX
SAN ANDRES TOTOLTEPEC;CDMX
LEYES DE REFORMA 3A SECCION;CDMX
SAN JOSE DE LA ESCALERA;CDMX
JUAREZ;CDMX
NUEVA ATZACOALCO;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
CENTRO;CDMX
MIRAVALLE;CDMX
SIN DATO ;COLON
LOMAS DE ZARAGOZA;CDMX
MERCED BALBUE  ;CDMX
VALLE GOMEZ;CDMX
VILLA QUIETUD;CDMX
LOMAS DE PLATEROS;CDMX
AGRICOLA PANTITLAN;CDMX
SAN SIMON TICUMAC;CDMX
EJERCITO DE ORIENTE ZO   PENON;CDMX
LOMAS ALTAS;CDMX
AJUSCO;CDMX
SIMON BOLIVAR;CDMX
CHI  MPAC DE JUAREZ;CDMX
PEDREGAL DEL MAUREL;CDMX
CHI  MPAC DE JUAREZ;CDMX
TLAPECHICO;CDMX
SAN MIGUEL;CDMX
HIPODROMO;CDMX
  RVARTE;CDMX
DEL MAR;CDMX
CENTRO;CDMX
AHUEHUETES A  HUAC;CDMX
CENTRO;CDMX
LORENZO BOTURINI;CDMX
EL PARAISO;CDMX
PE   POBRE;CDMX
SAN JUANICO NEXTIPAC;CDMX
CORPUS CHRISTY;CDMX
TRANSITO;CDMX
OLIVAR DE LOS PADRES;CDMX
SAN MIGUEL SANTA A   TLACOTENCO;CDMX
XOCO;CDMX
SAN FRANCISCO TLALTENCO;CDMX
SAN JUAN TEPEPAN;CDMX
CANTERA PUENTE DE PIEDRA;CDMX
CENTRO;CDMX
LA COLME  ;CDMX
SAN RAFAEL;CDMX
DEL VALLE CENTRO;CDMX
  RVARTE;CDMX
SAN JUAN XALPA;CDMX
VALLE ESCONDIDO;CDMX
SANTA CRUZ ATOYAC;CDMX
ZO   CENTRO;CDMX
OBRERA;CDMX
VILLA QUIETUD;CDMX
GUERRERO;CDMX
LOMAS ESTRELLA 1A SECCION;CDMX
REFORMA POLITICA;CDMX
SANTA CRUZ ATOYAC;CDMX
EL ROSARIO;CDMX
ROMA SUR;CDMX
GUERRERO;CDMX
NUEVA INDUSTRIAL VALLEJO;CDMX
TABACALERA;CDMX
LEYES DE REFORMA 3A SECCION;CDMX
AGRICOLA PANTITLAN;CDMX
PORTALES SUR;CDMX
PUENTE BLANCO;CDMX
TABACALERA;CDMX
VILLA COYOACAN;CDMX
MARTIRES DE RIO BLANCO;CDMX
ARAGON LA VILLA;CDMX
DEFENSORES DE LA REPUBLICA;CDMX
DR IG  CIO CHAVEZ INFO  VIT;CDMX
CARLOS ZAPATA VELA;CDMX
VILLA PA  MERICA  ;CDMX
LOMAS DE SAN LORENZO;CDMX
  POLES;CDMX
PROVIDENCIA;CDMX
CENTRO;CDMX
EMILIANO ZAPATA;CDMX
SAN ANGEL;CDMX
