Colonia_Hecho;Municipio_Hecho
SIN DATO ;CDMX
LOMAS DE CUAUTEPEC;CDMX
LA ERA;CDMX
LOMAS HERMOSA;CDMX
MILITAR MARTE;CDMX
  RVARTE;CDMX
SAN JUAN DE ARAGON II SECCION;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
DOCTORES;CDMX
CENTRO;CDMX
Las Aguilas AOB 3;CDMX
TACUBAYA;CDMX
SAN GREGORIO ATLAPULCO;CDMX
SAN GREGORIO ATLAPULCO;CDMX
SAN BER  BE OCOTEPEC;CDMX
CENTRO;CDMX
PIEDAD   RVARTE;CDMX
ZENON DELGADO;CDMX
OBRERO POPULAR;CDMX
AMPLIACION SAN MIGUEL 8VA;CDMX
TULYEHUALCO;CDMX
LA ESPERANZA;CDMX
LA ESPERANZA;CDMX
LA ESPERANZA;CDMX
CENTRO;CDMX
EL ROSARIO;CDMX
TULYEHUALCO;CDMX
CENTRO;CDMX
SAN PEDRO DE LOS PINOS;CDMX
GUADALUPE DEL MORAL;CDMX
JUVENTINO ROSAS;CDMX
JUVENTINO ROSAS;CDMX
XOCO;CDMX
CTM EL RISCO;CDMX
SAN SIMON TOL  HUAC;CDMX
SAN SIMON TOL  HUAC;CDMX
SAN MIGUEL XICALCO;CDMX
SAN MIGUEL XICALCO;CDMX
TEZOZOMOC;CDMX
REFORMA IZTACCIHUATL SUR;CDMX
AERO  UTICA MILITAR;CDMX
SIN DATO ;CDMX
DEL GAS;CDMX
GUERRERO;CDMX
UNIVERSIDAD   CIO  L AUTONOMA DE MEXICO;CDMX
INSURGENTES MIXCOAC;CDMX
TRANSITO;CDMX
CIUDAD DE LOS DEPORTES;CDMX
CENTRO DE AZCAPOTZALCO;CDMX
INSURGENTES CUICUILCO;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
JUVENTINO ROSAS;CDMX
SAN JUAN XALPA;CDMX
  RVARTE;CDMX
DOCTORES;CDMX
SAN MIGUEL XICALCO;CDMX
SANTIAGO TEPALCATLALPAN;CDMX
Las Aguilas AOB 3;CDMX
SANTA MARTHA ACATITLA NORTE;CDMX
SAN JUAN JOYA;CDMX
CENTRO;CDMX
PARRES EL GUARDA;CDMX
PASEOS DEL SUR;CDMX
SANTA LUCIA CHANTEPEC;CDMX
MORELOS;CDMX
RESIDENCIAL ACOXPA;CDMX
OBRERA;CDMX
CULHUACAN CTM SECCION VII;CDMX
CABEZA DE JUAREZ X;CDMX
SAN MIGUEL AMANTLA;CDMX
PARRES EL GUARDA;CDMX
CONSEJO AGRARISTA MEXICANO;CDMX
MERCED BALBUE  ;CDMX
GRANJAS COAPA;CDMX
DOCTORES;CDMX
SAN JUAN DE ARAGON;CDMX
SAN MIGUEL;CDMX
PENSADOR MEXICANO;CDMX
MARTIRES DE RIO BLANCO;CDMX
DEL CARMEN;CDMX
PUEBLO LA CANDELARIA;CDMX
LOS ANGELES;CDMX
CABEZA DE JUAREZ X;CDMX
SANTA MARIA LA RIBERA;CDMX
SIN DATO ;CDMX
SIN DATO ;MAZATLAN
SAN MIGUEL CHAPULTEPEC;CDMX
ZO   CENTRO;CDMX
ZO   CENTRO;CDMX
BANJIDAL;CDMX
EL VERGEL;CDMX
ARTURO MARTINEZ;CDMX
AMSA;CDMX
EL CAPULIN;CDMX
PROGRESO TIZAPAN;CDMX
SANTIAGO ACAHUALTEPEC;CDMX
JUAREZ;CDMX
SAN ANDRES TOTOLTEPEC;CDMX
SAN MATEO TLALTE  NGO;CDMX
SANTIAGO NORTE;CDMX
LOMAS DE CUAUTEPEC;CDMX
SAN FRANCISCO CULHUACAN;CDMX
MOLINO DE SANTO DOMINGO;CDMX
ROMA SUR;CDMX
ROMA SUR;CDMX
EX EJIDO DE SAN PABLO TEPETLAPA;CDMX
  RVARTE;CDMX
SAN MATEO TLALTE  NGO;CDMX
ROMA NORTE;CDMX
ALFONSO XIII;CDMX
JACARANDAS;CDMX
CHI  MPAC DE JUAREZ;CDMX
ZO   URBA   EJIDAL SANTA MARIA AZTAHUACAN;CDMX
25 DE JULIO;CDMX
SAN ANDRES TOTOLTEPEC;CDMX
TLACOQUEMECATL;CDMX
OLIVAR DE LOS PADRES;CDMX
SIN DATO ;CDMX
DEL MAESTRO;CDMX
AVANTE;CDMX
INFO  VIT IZTACALCO;CDMX
ZEDEC SANTA FE;CDMX
INSURGENTES MIXCOAC;CDMX
PARQUE SAN ANDRES;CDMX
INDUSTRIAL VALLEJO;CDMX
SANTIAGO TEPALCATLALPAN;CDMX
  RVARTE;CDMX
CAMPESTRE CHURUBUSCO;CDMX
LA PRECIOSA;CDMX
BUENOS AIRES;CDMX
SAN MATEO TLALTE  NGO;CDMX
  RVARTE;CDMX
SAN PEDRO DE LOS PINOS;CDMX
  POLES;CDMX
SIN DATO ;CDMX
TLALCOLIGIA;CDMX
EL COYOL;CDMX
  POLES;CDMX
OLIVAR DEL CONDE 2A SECCION;CDMX
MIXCOAC;CDMX
20 DE NOVIEMBRE;CDMX
  POLES;CDMX
EL OLIVO;CDMX
SANTIAGO TEPALCATLALPAN;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
LA PRADERA II;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
SAN SEBASTIAN TECOLOXTITLA;CDMX
SANTA MARIA INSURGENTES;CDMX
SAN JOSE BUE  VISTA;CDMX
SAN JUANICO;CDMX
SIN DATO ;CDMX
CULHUACAN CTM SECCION IX;CDMX
SIN DATO ;CHIMALHUACAN
SIN DATO ;CHIMALHUACAN
CANTERA PUENTE DE PIEDRA;CDMX
LA RAZA;CDMX
TACUBA;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
SAN FELIPE DE JESUS;CDMX
SAN JUAN DE ARAGON VII SECCION;CDMX
LOMAS DE BECERRA;CDMX
RICARDO FLORES MAGON;CDMX
SAN RAFAEL;CDMX
EL SANTUARIO;CDMX
JOSE LOPEZ PORTILLO;CDMX
PERIODISTA;CDMX
AMPLIACION PENITENCIARIA;CDMX
AMPLIACION CASAS ALEMAN;CDMX
ANGEL ZIMBRON;CDMX
BOSQUES DEL PEDREGAL;CDMX
JUAREZ;CDMX
OCOTLA;CDMX
SANTA MARIA LA RIBERA;CDMX
CUCHILLA DEL TESORO;CDMX
GUERRERO;CDMX
SAN SEBASTIAN TECOLOXTITLA;CDMX
ZO   ESCOLAR;CDMX
CULHUACAN CTM SECCION IX;CDMX
SIN DATO ;CDMX
TACUBAYA;CDMX
SAN SIMON TOL  HUAC;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
TLALPAN CENTRO II;CDMX
TACUBA;CDMX
LOS PICOS DE IZTACALCO SECCION 1A;CDMX
BARRIO LA CONCEPCION TLACOAPA;CDMX
CULHUACAN CTM SECCION VII;CDMX
SAN JUAN DE ARAGON VII SECCION;CDMX
RICARDO FLORES MAGON;CDMX
MORELOS;CDMX
GENERAL PEDRO MARIA A  YA;CDMX
  RVARTE;CDMX
ZACATENCO;CDMX
SANTA MARTHA ACATITLA NORTE;CDMX
UNIDAD VICENTE GUERRERO;CDMX
MERCED GOMEZ;CDMX
NUEVA ATZACOALCO;CDMX
SANTA ANITA;CDMX
DOCTORES;CDMX
INDEPENDENCIA;CDMX
SAN SEBASTIAN TECOLOXTITLA;CDMX
AGRICOLA PANTITLAN;CDMX
VALLEJO;CDMX
ZO   ESCOLAR;CDMX
PARQUE DEL PEDREGAL;CDMX
CENTRO;CDMX
INFO  VIT IZTACALCO;CDMX
CAMPAMENTO 2 DE OCTUBRE;CDMX
TACUBA;CDMX
HIPODROMO;CDMX
ANZURES;CDMX
ESTRELLA DEL SUR;CDMX
CENTRO URBANO BENITO JUAREZ;CDMX
RICARDO FLORES MAGON;CDMX
SIN DATO ;PACHUCA DE SOTO
INDUSTRIAL;CDMX
ROMA NORTE;CDMX
INDEPENDENCIA;CDMX
GUADALUPE TEPEYAC;CDMX
SANTA CECILIA;CDMX
ISIDRO FABELA;CDMX
SANTA MARIA LA RIBERA;CDMX
SANTIAGO SUR;CDMX
CENTRO;CDMX
BARRIO 18;CDMX
DR ALFONSO ORTIZ TIRADO;CDMX
SAN SEBASTIAN TECOLOXTITLA;CDMX
BOSQUE DE LAS LOMAS;CDMX
SIN DATO ;CDMX
TULYEHUALCO;CDMX
AMPLIACION SAN FRANCISCO CULHUACAN;CDMX
CULHUACAN CTM SECCION VI;CDMX
SANTA BARBARA;CDMX
NUEVA SANTA MARIA;CDMX
LA GUADALUPE;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
SAN FRANCISCO CULHUACAN;CDMX
TLACUITLAPA;CDMX
SANTA CECILIA TEPETLAPA;CDMX
CAMPESTRE COYOACAN;CDMX
EL CAPULIN;CDMX
SANTA BARBARA;CDMX
CUAUHTEMOC;CDMX
BARRIO XALTOCAN;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
MIGUEL HIDALGO;CDMX
SANTA MARIA TEPEPAN;CDMX
SAN ISIDRO;CDMX
SIN DATO ;CDMX
SANTA ANITA;CDMX
EL OLIVO;CDMX
  RVARTE;CDMX
TABACALERA;CDMX
SAN FELIPE DE JESUS;CDMX
MODER  ;CDMX
PIEDAD   RVARTE;CDMX
TECAXTITLA SAN ANTONIO TECOMITL;CDMX
MI  S CRISTO REY;CDMX
  TIVITAS;CDMX
UNIDAD VICENTE GUERRERO;CDMX
JUAN ESCUTIA;CDMX
JUAN ESCUTIA;CDMX
AJUSCO;CDMX
TLALPAN CENTRO I;CDMX
JARDINES DEL PEDREGAL;CDMX
LOMAS DE PLATEROS;CDMX
AMPLIACION ADOLFO LOPEZ MATEOS;CDMX
ESCUADRON 201;CDMX
SAN DIEGO OCOYOACAC;CDMX
PARAISO;CDMX
5O TRAMO 20 DE NOVIEMBRE;CDMX
LINDAVISTA;CDMX
SANTA CRUZ ATOYAC;CDMX
ARAGON LA VILLA;CDMX
MORELOS;CDMX
SAN MATEO;CDMX
UNIDAD OBRERO HAB CTM CULHUACAN ZO   13;CDMX
CITLALLI;CDMX
GRANJAS MEXICO;CDMX
GUADALUPE PROLETARIA;CDMX
MORELOS;CDMX
AMPLIACION GABRIEL RAMOS MILLAN;CDMX
LOMAS DE SAN LORENZO;CDMX
EL SIFON;CDMX
SAN BARTOLO ATEPEHUACAN;CDMX
GRANJAS ESMERALDA;CDMX
CENTRO;CDMX
LEYES DE REFORMA 1A SECCION;CDMX
SINDICATO MEXICANO DE ELECTRICISTAS;CDMX
PUEBLO DE LOS REYES;CDMX
  POLES;CDMX
AVANTE;CDMX
CENTRO;CDMX
EL ROSARIO;CDMX
LOMAS DE CUAUTEPEC;CDMX
DEL VALLE CENTRO;CDMX
RESIDENCIAL MIRAMONTES;CDMX
FEDERAL;CDMX
CENTRO;CDMX
CHIMALISTAC;CDMX
CTM EL RISCO;CDMX
SANTO TOMAS;CDMX
SAN FELIPE DE JESUS;CDMX
SANTA CRUZ ACALPIXCA   PUEBLO;CDMX
OBRERA;CDMX
SAN ANDRES TOTOLTEPEC;CDMX
ERMITA ZARAGOZA;CDMX
IRRIGACION;CDMX
UNIDAD VICENTE GUERRERO;CDMX
ESTRELLA CULHUACAN;CDMX
TRANSITO;CDMX
JARDIN AZPEITIA;CDMX
LA MAGDALE   PETLACALCO;CDMX
Las Aguilas AOB 3;CDMX
POLANCO;CDMX
PIEDAD   RVARTE;CDMX
SAN PEDRO MARTIR;CDMX
CONDESA;CDMX
SANTA ROSA;CDMX
SANTA ROSA;CDMX
SANTA MARIA LA RIBERA;CDMX
MOCTEZUMA 2A SECCION;CDMX
CTM ATZACOALCO;CDMX
AMPLIACION BENITO JUAREZ;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
CULHUACAN CTM SECCION X;CDMX
CUADRANTE DE SAN FRANCISCO;CDMX
EL OLIVO;CDMX
SANTA MARIA MALI  LCO;CDMX
INDUSTRIAL;CDMX
SAN ANDRES TOTOLTEPEC;CDMX
SANTA ISABEL TOLA;CDMX
CASTILLO CHICO;CDMX
CASTILLO CHICO;CDMX
CASTILLO CHICO;CDMX
8 DE AGOSTO;CDMX
PENSADOR MEXICANO;CDMX
EL RELOJ;CDMX
SANTIAGO ATEPETLAC;CDMX
  RVARTE;CDMX
AMERICAS UNIDAS;CDMX
SAN BARTOLO CAHUALTONGO;CDMX
CITLALLI;CDMX
SAN ANGEL;CDMX
LOMAS DE CHAPULTEPEC I SECCION;CDMX
CENTRO;CDMX
SIN DATO ;CDMX
DEL CARMEN;CDMX
ALFONSO XIII;CDMX
CENTRO;CDMX
CTM ARAGON;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
TEPALCATES;CDMX
VALLEJO;CDMX
PUENTE BLANCO;CDMX
MORELOS;CDMX
AMPLIACION CASAS ALEMAN;CDMX
LOMAS DE ZARAGOZA;CDMX
TLALPAN CENTRO I;CDMX
SANTA CRUZ ATOYAC;CDMX
CENTRO;CDMX
ALGARIN;CDMX
UNIDAD VICENTE GUERRERO;CDMX
LOMAS DE CUAUTEPEC;CDMX
LOMAS DE CUAUTEPEC;CDMX
BOSQUE DE CHAPULTEPEC I SECCION;CDMX
PEDREGAL DE SANTA URSULA;CDMX
SAN MIGUEL CHAPULTEPEC;CDMX
CHIMALCOYOTL;CDMX
SAN JUAN XALPA;CDMX
SAN JOSE DE LOS CEDROS;CDMX
ARAGON INGUARAN;CDMX
ZEDEC SANTA FE;CDMX
PIEDAD   RVARTE;CDMX
PORTALES SUR;CDMX
SANTA CRUZ ACALPIXCA   PUEBLO;CDMX
SAN JUAN DE ARAGON;CDMX
SAN JUAN DE ARAGON IV SECCION;CDMX
ROMA NORTE;CDMX
GENERAL PEDRO MARIA A  YA;CDMX
CULHUACAN CTM SECCION IX;CDMX
ROMA NORTE;CDMX
LA LOMA;CDMX
UNIDAD EJERCITO CONSTITUCIO  LISTA;CDMX
LA   VIDAD;CDMX
JUAN ESCUTIA;CDMX
AGRICOLA ORIENTAL;CDMX
PEDREGAL DE CARRASCO;CDMX
EL ROSARIO;CDMX
FUENTES BROTANTES;CDMX
SAN PEDRO MARTIR;CDMX
SAN PEDRO MARTIR;CDMX
PILARES AGUILAS;CDMX
SAN LORENZO XICOTENCATL;CDMX
BARRIO OXTOPULCO UNIVERSIDAD;CDMX
SAN MIGUEL;CDMX
SAN JUAN DE ARAGON IV SECCION;CDMX
SANTA CECILIA TEPETLAPA;CDMX
TEPALCATES;CDMX
SANTA CRUZ AVIACION;CDMX
SANTA CRUZ AVIACION;CDMX
SANTA CRUZ AVIACION;CDMX
EMILIO CARRANZA;CDMX
SAN FRANCISCO TLALTENCO;CDMX
LOMAS DE PLATEROS;CDMX
LETRAN VALLE;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
MIGUEL HIDALGO;CDMX
MIGUEL HIDALGO;CDMX
LETRAN VALLE;CDMX
SAN ALVARO;CDMX
TENORIOS;CDMX
PEDREGAL DE SAN NICOLAS 3A SECCION;CDMX
CAMPAMENTO 2 DE OCTUBRE;CDMX
CONSTITUCION DE 1917;CDMX
PRO HOGAR;CDMX
LOMAS DE ZARAGOZA;CDMX
EMPLEADOS FEDERALES;CDMX
GUERRERO;CDMX
DANIEL GARZA;CDMX
SIMON BOLIVAR;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
JOSE LOPEZ PORTILLO;CDMX
GRANJAS MODER  S;CDMX
CITLALLI;CDMX
SANTA ISABEL TOLA;CDMX
CENTRO;CDMX
JUAREZ;CDMX
AREA FEDERAL PANTEON SAN LORENZO TEZONCO;CDMX
SAN JERONIMO LIDICE;CDMX
PURISIMA ATLAZOLPA;CDMX
PROVIDENCIA;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
NUEVA INDUSTRIAL VALLEJO;CDMX
CHIMALISTAC;CDMX
SAN ANDRES TOMATLAN;CDMX
SANTA MARTHA ACATITLA SUR;CDMX
RINCO  DA COAPA 2A SECCION;CDMX
LOMAS ALTAS DE PADIER   SUR;CDMX
CENTRO;CDMX
ZO   CENTRO;CDMX
PUEBLO DE LOS REYES;CDMX
TLALPAN CENTRO I;CDMX
AGRICOLA ORIENTAL;CDMX
SAN BER  BE OCOTEPEC;CDMX
CENTRO DE AZCAPOTZALCO;CDMX
SAN ANDRES DE LAS SALI  S;CDMX
DEL VALLE CENTRO;CDMX
SAN ANGEL;CDMX
SAN ANDRES TOTOLTEPEC;CDMX
INPI PICOS;CDMX
CITLALLI;CDMX
LA MAGDALE   PETLACALCO;CDMX
JOSE MARIA PINO SUAREZ;CDMX
ZEDEC SANTA FE;CDMX
EJERCITO DE AGUA PRIETA;CDMX
SANTA CRUZ ATOYAC;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
JUAN ESCUTIA;CDMX
PUEBLA;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
EL ROSARIO;CDMX
EL ROSARIO;CDMX
REAL DEL MORAL;CDMX
AGRICOLA ORIENTAL;CDMX
SANTA ROSA;CDMX
SAN NICOLAS TOTOLAPAN;CDMX
AMPLIACION POTRERILLO;CDMX
ALAMOS;CDMX
COMPOSITORES MEXICANOS;CDMX
MORELOS;CDMX
EL ROSARIO;CDMX
DEL GAS;CDMX
TORRES DE PADIER  ;CDMX
SAN FELIPE DE JESUS;CDMX
SAN LORENZO TEZONCO;CDMX
ZAPOTLA;CDMX
HIPODROMO;CDMX
2DA AMPLIACION BARRIO SAN MIGUEL SAN FELIPE TERRE;CDMX
PEDREGAL DE SANTA URSULA XITLA;CDMX
EJERCITO DE AGUA PRIETA;CDMX
PROVIDENCIA;CDMX
EQUIPAMIENTO FABRICA FISISA I;CDMX
MORELOS;CDMX
BARRIO SANTA CATARI  ;CDMX
LOMAS DE CHAPULTEPEC I SECCION;CDMX
SIN DATO ;CDMX
SECTOR POPULAR;CDMX
CAMPESTRE CHURUBUSCO;CDMX
BARRIO OXTOPULCO UNIVERSIDAD;CDMX
JUAREZ;CDMX
SANTIAGUITO;CDMX
LEGARIA;CDMX
CUAUHTEMOC;CDMX
CUAUHTEMOC;CDMX
SIN DATO ;CDMX
CENTRO;CDMX
SIN DATO ;TLALNEPANTLA DE BAZ
BARRIO SAN PEDRO;CDMX
POLANCO;CDMX
SIN DATO ;CDMX
SANTA MARIA LA RIBERA;CDMX
DEL VALLE CENTRO;CDMX
SANTA MARIA NONOALCO;CDMX
LAS PE  S;CDMX
CENTRO;CDMX
IRRIGACION;CDMX
VILLA GUSTAVO A MADERO;CDMX
SANTA MARTHA ACATITLA;CDMX
DOCTORES;CDMX
CENTRAL DE ABASTO;CDMX
DOCTORES;CDMX
SAN JUAN XALPA;CDMX
JARDINES DEL SUR;CDMX
ACULCO;CDMX
SIN DATO ;CDMX
  POLES;CDMX
SAN MARCOS NORTE;CDMX
ERMITA ZARAGOZA;CDMX
ERMITA ZARAGOZA;CDMX
  RVARTE;CDMX
JARDIN BALBUE  ;CDMX
  RVARTE;CDMX
EX HIPODROMO DE PERALVILLO;CDMX
SAN JUAN DE ARAGON II SECCION;CDMX
TABACALERA;CDMX
BUE  VISTA;CDMX
SANTA CRUZ XOCHITEPEC;CDMX
SANTA CRUZ XOCHITEPEC;CDMX
TEPEPAN;CDMX
VILLA PROGRESISTA;CDMX
JUAN ESCUTIA;CDMX
SAN JUAN XALPA;CDMX
TLATILCO;CDMX
SAN MIGUEL CHAPULTEPEC;CDMX
BUE  VISTA;CDMX
SAN ANDRES;CDMX
ZO   ESCOLAR ORIENTE;CDMX
AMPLIACION PENITENCIARIA;CDMX
SAN FELIPE DE JESUS;CDMX
EJERCITO DE ORIENTE ZO   PENON;CDMX
ARE  L 4A SECCION;CDMX
  RVARTE;CDMX
ROMA NORTE;CDMX
HIPODROMO;CDMX
ROMA SUR;CDMX
SAN JUAN DE ARAGON IV SECCION;CDMX
MORELOS;CDMX
AMPLIACION GABRIEL RAMOS MILLAN;CDMX
SANTA CRUZ ATOYAC;CDMX
LA MAGDALE  ;CDMX
SAN MIGUEL CHAPULTEPEC;CDMX
INDEPENDENCIA;CDMX
PRO HOGAR;CDMX
HIPODROMO;CDMX
SANTA MARTHA ACATITLA SUR;CDMX
MARTIRES DE RIO BLANCO;CDMX
CUAUHTEMOC;CDMX
SAN GREGORIO ATLAPULCO;CDMX
PERALVILLO;CDMX
SAN MIGUEL XICALCO;CDMX
DEL VALLE CENTRO;CDMX
SAN DIEGO CHURUBUSCO;CDMX
EL ROSEDAL;CDMX
CUADRANTE DE SAN FRANCISCO;CDMX
EL ROSEDAL;CDMX
SAN JERONIMO LIDICE;CDMX
SANTA MARIA LA RIBERA;CDMX
SAN ANGEL INN;CDMX
JORGE NEGRETE;CDMX
GRANJAS MEXICO;CDMX
AMPLIACION CASAS ALEMAN;CDMX
CENTRO;CDMX
LOMAS DE BECERRA;CDMX
CARACOL;CDMX
GERTRUDIS SANCHEZ 2A SECCION;CDMX
UNIDAD OBRERO HAB CTM CULHUACAN ZO   13;CDMX
AGUILERA;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
SIN DATO ;CDMX
CHI  MPAC DE JUAREZ;CDMX
CHI  MPAC DE JUAREZ;CDMX
ESTRELLA CULHUACAN;CDMX
DOCTORES;CDMX
NUEVA INDUSTRIAL VALLEJO;CDMX
PARQUE SAN ANDRES;CDMX
EL ROSEDAL;CDMX
EL ROSEDAL;CDMX
PARQUE SAN ANDRES;CDMX
POLANCO;CDMX
SIN DATO ;CDMX
INDUSTRIAL VALLEJO;CDMX
PUEBLO NUEVO BAJO;CDMX
2A AMPLIACION PRESIDENTES;CDMX
DEL MAESTRO;CDMX
SANTA MARIA TEPEPAN;CDMX
  RVARTE;CDMX
XALPA;CDMX
MIGUEL HIDALGO 2A SECCION;CDMX
MOCTEZUMA 2A SECCION;CDMX
EL PARQUE DE COYOACAN;CDMX
BUE  VISTA;CDMX
  RVARTE;CDMX
AMPLIACION SAN FRANCISCO CULHUACAN;CDMX
A  HUAC;CDMX
GRANJAS MODER  S;CDMX
A  HUAC;CDMX
JOSE LOPEZ PORTILLO;CDMX
DOCTORES;CDMX
EJERCITO DE ORIENTE ZO   PENON;CDMX
CAFETALES;CDMX
CAFETALES;CDMX
ARAGON LA VILLA;CDMX
LOMAS DE MEMETLA;CDMX
CAFETALES;CDMX
ALGARIN;CDMX
GARCIMARRERO NORTE;CDMX
ALGARIN;CDMX
CAFETALES;CDMX
GARCIMARRERO NORTE;CDMX
PORTALES SUR;CDMX
SAN JUAN DE ARAGON;CDMX
CENTRO;CDMX
JACARANDAS;CDMX
CENTRO COMERCIAL PERISUR;CDMX
LAS ARBOLEDAS;CDMX
LAS ARBOLEDAS;CDMX
LAS ARBOLEDAS;CDMX
FERRERIA;CDMX
COPILCO UNIVERSIDAD;CDMX
TRANSITO;CDMX
LEGARIA;CDMX
SANTA A   PONIENTE;CDMX
DEL VALLE CENTRO;CDMX
SANTA A   PONIENTE;CDMX
SANTA A   PONIENTE;CDMX
BUE  VISTA;CDMX
SIN DATO ;ZUMPANGO
MARTIN CARRERA;CDMX
CUAUHTEMOC;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
JARDIN BALBUE  ;CDMX
IRRIGACION;CDMX
IRRIGACION;CDMX
ZO   ESCOLAR;CDMX
SAN JUAN Y GUADALUPE TICOMAN;CDMX
PROVIDENCIA;CDMX
CHI  MPAC DE JUAREZ;CDMX
SAN JUAN Y GUADALUPE TICOMAN;CDMX
5 DE MAYO;CDMX
5 DE MAYO;CDMX
MARTIRES DE RIO BLANCO;CDMX
MARTIRES DE RIO BLANCO;CDMX
LA CRUZ;CDMX
JARDIN BALBUE  ;CDMX
JARDIN BALBUE  ;CDMX
ALIANZA POPULAR REVOLUCIO  RIA;CDMX
ROMA NORTE;CDMX
PUENTE BLANCO;CDMX
MOCTEZUMA 2A SECCION;CDMX
GABRIEL RAMOS MILLAN SECCION BRAMADERO;CDMX
GABRIEL RAMOS MILLAN SECCION BRAMADERO;CDMX
VILLA HERMOSA;CDMX
SIN DATO ;CORDOBA
VALLEJO;CDMX
XOCHIPILLI;CDMX
HIPODROMO;CDMX
FELIPE ANGELES;CDMX
ROSARIO TLALI;CDMX
CENTRO COMERCIAL PERISUR;CDMX
CUAJIMALPA;CDMX
PILOTO ADOLFO LOPEZ MATEOS;CDMX
CERRO DE LA ESTRELLA;CDMX
SIN DATO ;CDMX
SAN ANDRES AHUAYUCAN;CDMX
ESCANDON I SECCION;CDMX
EJERCITO DE AGUA PRIETA;CDMX
LOMAS DE SAN LORENZO;CDMX
CORPUS CHRISTY;CDMX
CORPUS CHRISTY;CDMX
XALPA;CDMX
DEL VALLE CENTRO;CDMX
SAN MIGUEL CHAPULTEPEC;CDMX
CORPUS CHRISTY;CDMX
DEL VALLE CENTRO;CDMX
DEL VALLE CENTRO;CDMX
CULHUACAN CTM SECCION VII;CDMX
VERGEL COAPA;CDMX
AZTECA;CDMX
CLUB DE GOLF MEXICO;CDMX
ZO   URBA   EJIDAL SANTA MARIA AZTAHUACAN;CDMX
  TIVITAS;CDMX
CUAJIMALPA;CDMX
UNIDAD EJERCITO CONSTITUCIO  LISTA;CDMX
TIERRA NUEVA;CDMX
TEPEYAC INSURGENTES;CDMX
SAN PEDRO MARTIR;CDMX
SAN JUAN DE ARAGON VII SECCION;CDMX
JUAREZ;CDMX
FRANCISCO VILLA;CDMX
FRANCISCO VILLA;CDMX
ESCANDON I SECCION;CDMX
DEL VALLE CENTRO;CDMX
DESARROLLO URBANO EL PIRU;CDMX
LOMAS DE SAN LORENZO;CDMX
ZO   URBA   EJIDAL SANTA MARIA AZTAHUACAN;CDMX
CENTRO;CDMX
SAN JUAN;CDMX
TEPALCATES;CDMX
SAN JUAN XALPA;CDMX
LA LAGU   TICOMAN;CDMX
BUE  VISTA;CDMX
AMPLIACION ZO   URBA   EJIDAL SANTA MARIA AZTAHUAC;CDMX
LOMAS DE CHAPULTEPEC I SECCION;CDMX
SANTA INES;CDMX
SAN NICOLAS TOLENTINO;CDMX
SAN PEDRO;CDMX
SAN PEDRO MARTIR;CDMX
EL TRIUNFO;CDMX
ERMITA ZARAGOZA;CDMX
EL PARAISO;CDMX
SANTA A   PONIENTE;CDMX
PALO ALTO;CDMX
SAN SEBASTIAN TECOLOXTITLA;CDMX
PALO ALTO;CDMX
SAN SEBASTIAN TECOLOXTITLA;CDMX
GRA  DA;CDMX
SAN SEBASTIAN TECOLOXTITLA;CDMX
DESARROLLO URBANO QUETZALCOATL;CDMX
MAGDALE   DE LAS SALI  S;CDMX
DR IG  CIO CHAVEZ INFO  VIT;CDMX
NONOALCO TLATELOLCO;CDMX
PARAJE SAN JUAN;CDMX
BOSQUE DE LAS LOMAS;CDMX
ROMA SUR;CDMX
CUADRANTE DE SAN FRANCISCO;CDMX
POLANCO;CDMX
TACUBA;CDMX
ESCANDON I SECCION;CDMX
REFORMA PENSIL;CDMX
  POLES;CDMX
ESCANDON I SECCION;CDMX
A  HUAC;CDMX
BANJIDAL;CDMX
ESCANDON I SECCION;CDMX
JARDIN BALBUE  ;CDMX
SAN PEDRO DE LOS PINOS;CDMX
NICOLAS BRAVO;CDMX
CENTRO;CDMX
AGRICOLA ORIENTAL;CDMX
JOSE LOPEZ PORTILLO;CDMX
CENTRO;CDMX
BARRIO SAN FER  NDO;CDMX
COLEGIO MEXICO;CDMX
AMPLIACION GABRIEL RAMOS MILLAN;CDMX
DEL MAR;CDMX
SAN AGUSTIN VILLA MILPA ALTA;CDMX
LINDAVISTA;CDMX
LA ESPERANZA;CDMX
OBRERO POPULAR;CDMX
SAN PEDRO MARTIR;CDMX
SANTA MARIA LA RIBERA;CDMX
VILLA PA  MERICA  ;CDMX
